Est. 85400010,Est. 85427100,Est. 85642010,Est. 85651020,Est. 85662000,Est. 85658000,Est. 85930000,Est. 87390060,Est. 87510060
0.005,0.094,0.043,0.043,0.049,0.058,0.07,0.062,0.01
0.063,0.061,0.097,0.114,0.196,0.125,0.099,0.04,0.571
0.053,,0.075,0.101,0.23,0.155,,0.104,0.039
,0.076,,,,,0.081,,
,0.055,,,,,0.084,,
,0.034,,,,,0.105,,
,0.134,,,,,0.113,,
,0.005,,,,,0.063,,
,0.036,,,,,0.043,,
,0.05,,,,,0.121,,
,0.046,,,,,0.084,,
