Est. 85400010,Est. 85427100,Est. 85642010,Est. 85651020,Est. 85662000,Est. 85658000,Est. 85930000,Est. 87390060,Est. 87510060
8.99,9.67,9.22,9.09,9.34,9.96,10.4,9.75,9.61
8.14,8.55,8.16,8.19,8.15,8.93,7.01,7.78,9.3
7.3,7.81,6.79,7.75,6.58,7.7,7.19,7.25,8.22
,7.98,,,,,8.22,,
,9.13,,,,,10.15,,
,8.68,,,,,7.84,,
,7.39,,,,,7.96,,
,8.07,,,,,8.11,,
,9.05,,,,,10.27,,
,8.25,,,,,7.99,,
,7.26,,,,,8,,
