Est. 85400010,Est. 85427100,Est. 85642010,Est. 85651020,Est. 85662000,Est. 85658000,Est. 85930000,Est. 87390060,Est. 87510060
1,2,2,1,2,1,1,1,1
1,2,1,2,1,1,2,1,1
1,1,,2,1,2,2,1,1
,1,,,,,1,,
,1,,,,,1,,
,1,,,,,2,,
,1,,,,,1,,
,1,,,,,1,,
,2,,,,,1,,
,1,,,,,1,,
,1,,,,,1,,
