Est. 85400010,Est. 85427100,Est. 85642010,Est. 85651020,Est. 85662000,Est. 85658000,Est. 85930000,Est. 87390060,Est. 87510060
0.087,0.056,0.123,0.086,0.07,0.0958,0.01,0.086,0.095
0.081,0.138,0.068,0.133,0.055,0.032,0.183,0.032,0.127
0.068,0.081,0.032,0.303,0.321,0.295,0.081,0.243,0.12
,0.049,,,,,0.207,,
,0.091,,,,,0.032,,
,0.032,,,,,0.135,,
,0.143,,,,,0.163,,
,0.283,,,,,0.361,,
,0.112,,,,,0.156,,
,0.032,,,,,0.101,,
,0.032,,,,,0.243,,
