Est. 85400010,Est. 85427100,Est. 85642010,Est. 85651020,Est. 85662000,Est. 85658000,Est. 85930000,Est. 87390060,Est. 87510060
959,23.1,169,1039,3076,4352,9.8,146,836
137.6,224.7,410.6,1203.3,5794,1019,143.9,686.7,
33.2,90.6,98.8,206.4,816.4,85.7,195,404,488.4
,34.1,,,,,6.3,,
,913.9,,,,,143.9,,
,45.5,,,,,33.6,,
,,,,,,165.8,,
,68.9,,,,,18.9,,
,114.5,,,,,20,,
,488.4,,,,,31,,
,57.3,,,,,25.3,,
